"flower_id","flower_name","file","source_url","photographer","downloaded_at","license_note"
"163","ヒペリカム","images/flowers/v7/163.jpg","https://www.pexels.com/photo/tiny-anise-placed-near-nutmeg-with-hypericum-6045518/","","2026-04-15","Pexels License"
"164","ダスティミラー","images/flowers/v7/164.jpg","https://www.pexels.com/photo/close-up-shot-of-dusty-miller-plant-leaves-35731394/","","2026-04-15","Pexels License"
"165","セロシア","images/flowers/v7/165.jpg","https://www.pexels.com/photo/celosia-flowers-photography-1212045/","","2026-04-15","Pexels License"
"166","バンダ","images/flowers/v7/166.jpg","https://www.pexels.com/photo/close-up-of-orchid-flowers-11601573/","","2026-04-15","Pexels License"
"167","リューカデンドロン","images/flowers/v7/167.jpg","https://www.pexels.com/photo/close-up-of-a-leucadendron-flower-6794697/","","2026-04-15","Pexels License"
"168","ワックスフラワー","images/flowers/v7/168.jpg","https://www.pexels.com/photo/tiny-geraldton-waxflowers-composed-with-white-roses-5754150/","","2026-04-15","Pexels License"
"169","チョコレートコスモス","images/flowers/v7/169.jpg","https://www.pexels.com/photo/vibrant-cosmos-flowers-under-clear-blue-sky-29798565/","","2026-04-15","Pexels License"
"170","シレネ","images/flowers/v7/170.jpg","https://www.pexels.com/photo/gentle-blooming-silene-flowers-in-spring-garden-4056573/","","2026-04-15","Pexels License"
"171","ポテンティラ","images/flowers/v7/171.jpg","https://www.pexels.com/photo/close-up-of-yellow-potentilla-flowers-in-bloom-32482054/","","2026-04-15","Pexels License"
"172","イベリス","images/flowers/v8/172.jpg","https://images.pexels.com/photos/36164798/pexels-photo-36164798.jpeg","","2026-04-15","Pexels License"
"173","アネモネ・シルベストリス","images/flowers/v7/173.jpg","https://www.pexels.com/photo/close-up-of-vibrant-anemone-flower-in-bloom-35423124/","","2026-04-15","Pexels License"
"174","キンバイソウ","images/flowers/v8/174.jpg","https://images.pexels.com/photos/33735167/pexels-photo-33735167.jpeg","","2026-04-15","Pexels License"
"175","ヒューケラ","images/flowers/v7/175.jpg","https://www.pexels.com/photo/rustic-flower-tub-with-heuchera-and-ivy-decor-34099669/","","2026-04-15","Pexels License"
"176","アルメリア","images/flowers/v7/176.jpg","https://www.pexels.com/photo/pale-pink-armeria-flowers-growing-in-grass-18238058/","","2026-04-15","Pexels License"
